浦东新区,黄浦区,静安区,徐汇区,长宁区,普陀区,虹口区,杨浦区,宝山区,闵行区,嘉定区,金山区,松江区,青浦区,奉贤区,崇明区
135,36,15,61,12,25,0,14,17,53,81,3,16,5,6,23
220,42,32,46,13,18,12,8,13,265,40,11,9,4,13,0
169,49,44,130,26,31,23,10,67,122,103,16,39,5,22,40
237,59,28,87,19,21,13,3,16,305,111,4,31,20,8,19
218,20,48,106,11,34,26,11,69,256,69,5,34,10,12,54
193,102,70,167,59,38,29,21,87,490,130,12,92,13,24,82
1914,23,2,3,4,9,4,11,4,206,19,1,15,13,0,41
323,160,108,331,29,69,50,23,153,972,242,4,79,22,84,27
1429,56,70,277,45,70,27,35,94,619,251,13,190,43,45,236
2506,283,104,91,115,81,8,47,311,370,209,19,94,57,115,67
2183,110,175,1100,30,113,73,99,363,988,255,26,229,87,96,55
2207,361,102,404,128,146,84,100,504,780,158,33,246,77,130,193
2407,121,164,226,256,15,128,174,17,392,54,42,184,95,183,44
2584,260,189,639,37,245,61,134,45,1043,200,49,493,87,161,84
2038,659,324,1042,100,388,342,274,485,829,617,60,567,231,157,113
3654,824,338,499,104,321,188,374,467,940,415,103,263,232,119,165
7071,970,50,1229,33,254,608,220,265,1381,237,52,559,314,64,47
8145,658,302,920,84,483,410,623,554,2937,481,77,796,384,144,79
8457,1044,545,1107,350,1033,668,630,660,2409,1408,79,781,470,278,63
9050,1380,381,2076,852,957,594,601,414,2257,933,129,751,493,92,262
7286,2607,665,1629,614,1094,378,701,2821,2854,1505,90,771,342,97,170
11130,548,602,1150,757,653,349,1080,2261,4624,369,68,500,557,124,171
6732,1761,603,3203,387,1001,1238,1877,1839,3189,1405,57,1825,877,38,55
8306,2223,552,1771,393,1878,1375,1420,1024,3007,208,38,691,331,68,57
11049,1804,1056,1108,1133,1170,931,1159,295,4245,986,39,712,524,33,86
15027,1408,220,1492,957,475,1488,1185,651,2939,721,34,657,319,83,63
11656,2013,266,1342,998,264,930,817,417,2378,803,28,761,304,35,60
10282,1384,433,1689,752,426,1497,1411,1323,2037,741,31,773,536,106,92
10791,1565,1134,1532,706,1331,1027,860,1293,3060,685,21,410,305,51,49
7740,1896,842,1553,739,1225,1166,887,1450,2402,978,24,905,369,20,52
8831,3323,1010,572,680,371,1092,481,1030,1372,588,7,762,257,14,26
5646,3084,1733,1608,618,528,753,766,957,1602,743,9,325,389,60,80
4465,3097,1130,1447,726,555,832,2005,833,1686,649,17,676,280,32,65
4655,1752,2064,1366,496,489,885,543,978,2563,776,30,493,385,34,120
7961,2843,786,1275,713,523,997,1356,2033,1305,500,26,2568,359,8,117
7626,1959,471,1722,727,478,819,1277,2886,877,751,44,773,424,16,208
6181,1755,1702,1396,749,477,655,1235,2506,1229,601,68,548,251,7,95
3912,2671,1016,1341,534,418,1270,1244,1786,717,543,22,641,379,12,474
2745,1228,1394,904,419,365,1136,1106,1976,749,434,28,287,311,13,467
2993,1452,1089,552,208,301,1091,526,1115,321,292,41,231,208,3,199
3472,2656,1364,1580,647,235,1374,808,1243,422,488,28,402,269,6,38
2028,1399,1267,602,377,141,1015,767,1197,516,268,19,134,156,26,269
1625,1156,996,488,181,114,591,342,1133,431,259,11,105,128,4,308
1652,1112,702,442,243,95,669,467,983,386,268,14,96,115,13,76
1162,974,616,417,151,79,366,388,636,287,279,7,68,94,10,135
883,939,565,363,102,62,358,421,620,252,175,4,90,43,6,99
889,775,545,330,121,91,326,393,459,285,215,3,92,70,1,56
677,772,515,323,87,79,267,411,500,235,201,2,83,56,11,50
584,627,484,330,71,77,279,425,502,309,201,8,27,169,21,100
675,612,548,299,65,56,272,613,345,227,119,0,48,34,11,51
692,502,620,306,77,49,317,576,332,225,136,4,40,49,6,16
588,414,393,128,53,50,269,383,162,328,148,1,26,56,6,9
263,264,219,83,16,30,136,167,142,79,34,0,19,27,0,8
250,246,170,74,40,29,102,165,129,91,90,3,14,37,5,4
280,297,207,93,59,29,103,549,174,143,109,1,22,20,1,9
187,243,184,105,37,28,91,415,154,129,63,7,11,24,0,3
150,186,143,89,50,28,67,321,117,81,84,16,6,28,0,1
98,93,79,63,15,8,69,331,83,35,35,4,14,10,1,0
